Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
30,217,Adventures of Huckleberry Finn,Mark Twain,1884,American,English,200-400,109571,30,4053,"Adventure, Banned books, Fiction, Literary Fiction, Picaresque, Social & Cultural Fiction","Freedom, Identity, Racism, Society, Southern Culture, childhood, morality","Mississippi River, Missouri, United States"
31,107,Jane Eyre,Charlotte Brontë,1847,British,English,300-500,183858,31,3977,"Coming of age, Fiction, Gothic, Literary Fiction, Romance, Victorian","Education, Family, Family dynamics, Love, Mental Health, Women's Studies, class, gender, orphans","Fictional Location, Independence"
32,466,The Magic Mountain,Thomas Mann,1924,German,German,700-1000,264000,32,3897,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Social & Cultural Fiction, philosophical","Civilization, Illness","Davos, Germany, Switzerland"
33,112,Great Expectations,Charles Dickens,1860,British,English,500-600,186000,33,3854,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Victorian","Ambition, Growth, Identity, Injustice, Love, Redemption, Social Class, Wealth","England, Great Britain, London, United States"
34,59,Mrs. Dalloway,Virginia Woolf,1925,British,English,150-200,64000,34,3789,"Drama, Fiction, Literary Fiction, Modernist, Psychological, Social & Cultural Fiction","Death, Friendship, Love, Marriage, Memory, Mental illness, Society, Time, War, Women's Studies, class","England, London"
35,18,Catch-22,Joseph Heller,1961,American,English,450-550,174269,35,3771,"Absurdist, Dark Humor, Fiction, Literary Fiction, Postmodern, Satire","Bureaucracy, Death, Friendship, Heroism, Insanity, Military, Psychology & Mental Health, Survival, War, World War II, fear","Italy, Pianosa, United States"
36,407,The Iliad,Homer,-750,Greek,Ancient greek,300-700,155000,36,3558,"Fiction, Historical fiction, Mythological, Tragedy, epic","Divine Intervention, European History, Fate, Friendship, Heroism, History, Honor, Mortality, Rage, War","Greece, Roman, Troy"
37,47,Invisible Man,Ralph Ellison,1952,American,English,200-600,95000,37,3532,"Allegorical, Coming of age, Fiction, Literary Fiction, Social & Cultural Fiction, philosophical","African American History, Alienation, History, Identity, Power, Racism, Self-discovery, Social Injustice, invisibility","New York, United States"
38,1409,The Master and Margarita,Mikhail Bulgakov,1967,Russian,Russian,250-500,134000,38,3362,"Allegorical, Dark, Fiction, Literary Fiction, Magical Realism, Postmodern, philosophical","Death, Love, Madness, Magic, Philosophy, Politics, Power, Satan","Moscow, Russia"
39,199,Frankenstein,Mary Shelley,1818,British,English,280-320,78000,39,3305,"Fiction, Gothic, Horror, Speculative Fiction, philosophical","Ambition, Creation, Family, Identity, Nature, Responsibility, Revenge, Science, isolation","Arctic Ocean, Fictional Location, Geneva, Germany, Ingolstadt, Switzerland"
40,950,Les Misérables,Victor Hugo,1862,French,French,1200-1500,530982,40,3281,"Allegorical, Drama, Fiction, Good and evil, Historical fiction, Literary Fiction, Victorian, philosophical","Forgiveness, French Revolution, Injustice, Justice, Love, Poverty, Redemption, Revolution, Sacrifice, Social Inequality, morality","France, Paris"
41,88,The Sun Also Rises,Ernest Hemingway,1926,American,English,200-300,68000,41,3154,"Allegorical, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction","Alcohol, Bullfighting, Disillusionment, Expatriates, Friendship, History, Love, Post-war trauma, War, World War I, masculinity, relationships","France, Pamplona, Paris, Spain, United States"
42,56,Midnight's Children,Salman Rushdie,1981,Indian,English,450-550,208000,42,3020,"Allegorical, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction","Asian History, Destiny, Family, History, Magic, Memory, Nostalgia, Partition, Politics, Power, Revolution, conflict","Independence, India, Pakistan"
43,90,Things Fall Apart,Chinua Achebe,1958,Nigerian,English,200-250,60000,43,2985,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Community, Family, Indigenous, Juvenile, Power, Race relations, change, colonialism, conflict, masculinity, tradition","Africa, Igbo, Nigeria, Umuofia, West Africa"
44,444,"Absalom, Absalom!",William Faulkner,1936,American,English,300-400,120000,44,2907,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","Betrayal, Family, Guilt, Legacy, Obsession, Racism, Revenge, Slavery, Southern Gothic","Mississippi, United States"
45,485,The Red and the Black,Stendhal,1830,French,French,300-500,217000,45,2884,"Fiction, Historical fiction, Literary Fiction, Political, Psychological, philosophical","Adultery, Ambition, Betrayal, Hypocrisy, Love, Politics, Power, Society, class","France, Paris, Verrières"
46,66,On the Road,Jack Kerouac,1957,American,English,310,86921,46,2872,"Allegorical, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Travel","Beat Generation, Counterculture, Freedom, Friendship, History, Jazz, Self-discovery","Chicago, Denver, Los Angeles, New York, San Francisco, United States"
47,10,Beloved,Toni Morrison,1987,American,English,275-350,90000,47,2820,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Psychological, Social & Cultural Fiction","African American, Community, Family, Family dynamics, Freedom, Ghosts, Guilt, Memory, Motherhood, Race relations, Slavery, Trauma, Women's Studies","Cincinnati, Ohio, United States"
48,2027,The Little Prince,Antoine de Saint-Exupéry,1943,French,French,93-96,16000,48,2780,"Allegorical, Children's books, Fiction, Literary Fiction, Magical Realism","Exploration, Friendship, Innocence, Philosophy, Wisdom, childhood, human nature, imagination, loneliness, relationships",Fictional Location
49,205,David Copperfield,Charles Dickens,1849,British,English,600-900,358000,49,2773,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Victorian","Ambition, Betrayal, Education, Family, Friendship, Identity, Marriage, Poverty, Resilience, Social Class, orphans","England, Great Britain, London"
50,489,One Thousand and One Nights,Unknown,800,Multiple,Arabic,800-1000,700000,50,2772,"Adventure, Fantasy, Fiction, Folklore & Fairy Tales, Mythological, Speculative Fiction, epic","Betrayal, Cunning, Fate, Justice, Love, Storytelling, Wisdom","Arabia, Middle East"
51,914,Journey to the End of The Night,Louis-Ferdinand Céline,1932,French,French,400-600,158000,51,2715,"Allegorical, Fiction, Literary Fiction, Picaresque, Social & Cultural Fiction, philosophical","Despair, Existentialism, Humanity, Medicine, Poverty, Suffering, War, World War I, colonialism","France, Paris"
52,126,Brave New World,Aldous Huxley,1932,British,English,200-300,64000,52,2691,"Dystopian, Fiction, Science fiction, Social & Cultural Fiction, Speculative Fiction, philosophical","Conformity, Control, Dystopia, Freedom, Happiness, Identity, Technology, consumerism","Fictional Location, Utopia"
53,4,Animal Farm,George Orwell,1945,British,English,50-150,29500,53,2654,"Allegorical, Fiction, Literary Fiction, Political, Satire","Betrayal, Class Struggle, Equality, Political Ideologies, Power, Propaganda, Revolution, corruption, oppression, political satire",Fictional Location
54,139,The Old Man and the Sea,Ernest Hemingway,1952,American,English,120-140,27000,54,2629,"Fiction, Literary Fiction, Sailors & The Sea, Social & Cultural Fiction, philosophical","Defeat, History, Hope, Nature, Perseverance, Pride, Resilience, Struggle, isolation","Caribbean Sea, Cuba"
55,16051,The Life And Opinions Of Tristram Shandy,Laurence Sterne,1759,British,English,500-600,220000,55,2597,"Experimental, Fiction, Literary Fiction, Picaresque, Postmodern, Satire, philosophical","Birth, Death, Life, Medicine, Opinions, Philosophy, War, writing",Fictional Location
56,321,Fictions,Jorge Luis Borges,1944,Argentinian,Spanish,174,,56,2566,"Fiction, Literary Fiction, Postmodern, Short Story Collection, Surreal, metafiction, philosophical","Dreams, Identity, Infinity, Knowledge, Labyrinths, Paradox, Time, reality","Argentina, Buenos Aires, London, United States"
57,481,Hamlet,William Shakespeare,1600,British,English,100-200,30000,57,2534,"Drama, Fiction, Literary Fiction, Tragedy, philosophical","Betrayal, Death & Grief, Family, Identity, Madness, Mortality, Power, Revenge, corruption","Denmark, Elsinore, Great Britain, Russia"
58,113,Little Women,Louisa May Alcott,1868,American,English,300-500,189000,58,2497,"Coming of age, Family & Relationships, Fiction, Historical fiction, Literary Fiction, Victorian","Family, Friendship, History, Love, Poverty, Sacrifice, Sisterhood, Women, gender roles","Concord, Independence, Massachusetts, New England, United States"
59,89,Their Eyes Were Watching God,Zora Neale Hurston,1937,American,English,200-300,59000,59,2461,"Coming of age, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","African American, African American History, Community, Freedom, History, Love, Marriage, Psychology & Mental Health, Self-discovery, gender, race, relationships","Eatonville, Florida, Independence, Southern US, United States"
60,818,The Diary of a Young Girl,Anne Frank,1947,Dutch,Dutch,220-340,70000,60,2437,"Banned books, Diaries & Journals, Memoir, Nonfiction","Adolescence, European History, History, Hope, Human rights, Jewish, Persecution, Survival, War, World War II, fear, isolation, writing","Amsterdam, Netherlands"
61,110,Rebecca,Daphne du Maurier,1938,British,English,300-400,115500,61,2415,"Fiction, Gothic, Literary Fiction, Mystery, Psychological","Death, Deception, Guilt, Jealousy, Love, class, secrets","Cornwall, England, Great Britain"
62,35,Gone With the Wind,Margaret Mitchell,1936,American,English,959-1037,418053,62,2411,"Fiction, Historical fiction, Literary Fiction, Romance, Sagas","Civil War, Family, History, Identity, Love, Marriage, Reconstruction, Resilience, Slavery, Social Class, Survival, War","Georgia, United States"
63,82,Slaughterhouse-Five,Kurt Vonnegut,1969,American,English,275-320,49000,63,2408,"Dark, Fiction, Literary Fiction, Postmodern, Satire, Science fiction, Social & Cultural Fiction, Speculative Fiction","Death & Grief, Fate, Free will, Survival, Time, Trauma, War","Dresden, England, Fictional Location, Germany"
64,193,Gulliver's Travels,Jonathan Swift,1726,British,English,300-400,107349,64,2408,"Adventure, Allegorical, Fiction, Literary Fiction, Picaresque, Satire","Culture, Power, Society, human nature, morality","England, Fictional Location, Utopia"
65,491,The Aeneid,Virgil,19,Roman,Latin,395,128000,65,2402,"Fiction, Historical fiction, Mythological, Poetry, epic","Classical Studies, Destiny, Divine Intervention, Exile, Family, Heroism, History, Leadership, Piety, Suffering, War","Carthage, Fictional Location, Greece, Italy, Roman, Rome, Troy"
66,492,Leaves of Grass,Walt Whitman,1855,American,English,95-438,154835,66,2381,"Fiction, Literary Fiction, Poetry, Religion & Spirituality, Social & Cultural Fiction, philosophical","Freedom, Humanity, Identity, Individualism, Mortality, Nature, Political Ideologies, Transcendentalism, Unity","Brooklyn, New York, United States"
67,70,A Passage to India,E. M. Forster,1924,British,English,200-400,120000,67,2369,"Fiction, Historical fiction, Literary Fiction, Political, Social & Cultural Fiction, philosophical","Cultural Conflict, Friendship, Justice, Novela, Race relations, Racism, Social Class, colonialism","Chandrapore, England, India"
68,51,Lord of the Flies,William Golding,1954,British,English,224,59960,68,2364,"Allegorical, Dystopian, Fiction, Good and evil, Literary Fiction, Psychological, Speculative Fiction","Civilization, Innocence, Leadership, Power, Savagery, Survival, fear, human nature","England, Fictional Location"
69,943,Candide,Voltaire,1759,French,French,100-200,30000,69,2361,"Allegorical, Fiction, Picaresque, Satire, philosophical","Hypocrisy, Optimism, Philosophy, Suffering, corruption","France, Germany, Great Britain, Italy, Lisbon, Portugal, South America, Suriname, Venice, Westphalia"
70,536,Dune,Frank Herbert,1965,American,English,400-500,188000,70,2358,"Fantasy, Fiction, Good and evil, Literary Fiction, Political, Science fiction, Speculative Fiction","Betrayal, Family, Identity, Leadership, Nature & Environment, Power, Prophecy, Revolution, Survival","Fictional Location, United States"
71,234,The Good Soldier,Ford Madox Ford,1915,British,English,200-300,72000,71,2282,"Allegorical, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","Adultery, Betrayal, Death, Deception, Friendship, Infidelity, Love, Marriage, Mental illness, Military","England, Germany"
72,467,Essays,Michel de Montaigne,1580,French,French,800-1500,1070000,72,2274,"Cultural, Diaries & Journals, Nonfiction, philosophical","Classical Studies, Death & Grief, Education, European History, Friendship, History, Philosophy, Self-reflection, Skepticism, Society, human nature, morality","Aquitaine, Bordeaux, France"
73,951,The Leopard,Giuseppe Tomasi di Lampedusa,1958,Italian,Italian,200-300,72000,73,2254,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Death, Decline, Family, Marriage, Politics, Power, aristocracy, change, tradition","Italy, Sicily"
74,484,Oedipus the King,Sophocles,-429,Greek,Ancient greek,128,26000,74,2252,"Drama, Fiction, Mythological, Tragedy, philosophical","Blindness, Classical Studies, Family, Fate, Guilt, Humanities, Justice, Pride, Prophecy, Suffering, Truth","Greece, Thebes"
75,167,Orlando,Virginia Woolf,1928,British,English,200-300,70000,75,2247,"Allegorical, Fiction, Literary Fiction, Magical Realism, Modernist, Postmodern","History, Immortality, Lgbtq+, Love, Nobility, Society, Time, Time travel, Transformation, Women's Studies, gender","England, London"
76,953,Dracula,Bram Stoker,1897,British,English,398,160000,76,2198,"Fiction, Gothic, Horror, Mystery, Speculative Fiction, Supernatural, Victorian","Friendship, Good vs Evil, Immortality, Madness, Seduction, Superstition, Vampirism, fear, isolation","England, Transylvania"
77,1368,The Handmaid's Tale,Margaret Atwood,1985,Canadian,English,300-400,94000,77,2196,"Dystopian, Fiction, Literary Fiction, Political, Social & Cultural Fiction, Speculative Fiction","Freedom, Identity, Political Ideologies, Power Dynamics, Resistance, Survival, Women's Studies, oppression","Canada, Fictional Location, New England"
78,442,The Idiot,Fyodor Dostoevsky,1869,Russian,Russian,600-800,208000,78,2188,"Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy, philosophical","Death, Illness, Innocence, Jealousy, Love, Madness, Poverty, Redemption, Society, Wealth","Germany, Russia, Saint Petersburg"
79,157,In Cold Blood,Truman Capote,1966,American,English,300-400,94000,79,2187,"Crime, Drama, Nonfiction, Psychological, True crime","Case studies, Death, Family, History, Investigation, Journalism, Justice, Law, Murder, Psychology, Punishment, Reportage, Violence","Holcomb, Kansas, United States"
80,216,The Portrait of a Lady,Henry James,1881,American,English,400-600,188000,80,2177,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Victorian","Betrayal, Family, Freedom, Inheritance and succession, Interpersonal relations, Love, Manipulation, Marriage, Society, Wealth, realism, relationships","England, Europe, Independence, Italy"
81,220,The Picture of Dorian Gray,Oscar Wilde,1890,British,English,208,78000,81,2139,"Allegorical, Fiction, Gothic, Literary Fiction, Psychological, philosophical","Beauty, Consequences, Identity, Influence, Youth, corruption, morality, vanity","England, Europe, London"
82,448,Faust,Johann Wolfgang von Goethe,1808,German,German,327,90000,82,2131,"Fiction, Good and evil, Gothic, Literary Fiction, Magical Realism, Tragedy, philosophical","Ambition, Despair, Good vs Evil, Knowledge, Love, Redemption, Temptation, human nature, morality",Germany
83,203,The Count of Monte Cristo,Alexandre Dumas,1844,French,French,1200-1400,461111,83,2110,"Adventure, Crime, Fiction, Historical fiction, Literary Fiction, Mystery, Psychological","Betrayal, Deception, Forgiveness, Imprisonment, Justice, Love, Power, Redemption, Revenge, Wealth","Château d'If, France, Marseille, Paris, United States"
84,691,Silent Spring,Rachel Carson,1962,American,English,200-300,61000,84,2086,"Nonfiction, Political, Technical, Travel, philosophical","Agriculture, American History, Biodiversity, Conservation, Environmentalism, History, History Of Science, Nature, Nature & Environment, Pesticides, Pollution, Public Health, Science",United States
85,125,A Portrait of the Artist as a Young Man,James Joyce,1916,Irish,English,200-300,86332,85,2077,"Allegorical, Coming of age, Fiction, Literary Fiction, Modernist, philosophical","Creativity, Education, Family, Freedom, Guilt, Humanities, Sexuality, rebellion","Dublin, Ireland"
86,96,Under the Volcano,Malcolm Lowry,1947,British,English,300-400,144000,86,2068,"Allegorical, Fiction, Literary Fiction, Modernist, Postmodern, Psychological, Tragedy","Death, Despair, Existentialism, Guilt, Love, Politics, Redemption, alcoholism, relationships","Cuernavaca, Mexico"
87,133,As I Lay Dying,William Faulkner,1930,American,English,200-300,56000,87,2052,"Allegorical, Fiction, Literary Fiction, Modernist, Postmodern, Tragedy","Death, Death & Grief, Duty, Family, Family dynamics, Grief, Madness, Poverty, Southern Gothic, Suffering, isolation, stream of consciousness","Mississippi, United States, Yoknapatawpha County"
88,124,Charlotte's Web,E. B. White,1952,American,English,192,32000,88,2047,"Children's books, Family & Relationships, Fiction, Middle Grade, Realistic Fiction","Animals, Family, Farm life, Friendship, Juvenile, Life and Death, Loyalty, Miracles, Sacrifice, childhood",Fictional Location
89,207,The Scarlet Letter,Nathaniel Hawthorne,1850,American,English,200-300,63500,89,2034,"Allegorical, Fiction, Gothic, Historical fiction, Literary Fiction","Forgiveness, Guilt, Hypocrisy, Identity, Judgment, Punishment, Redemption, Sin, isolation","Boston, Massachusetts, New England, United States"
90,33,The Golden Notebook,Doris May Lessing,1962,British,English,576-640,200000,90,2024,"Fiction, Literary Fiction, Modernist, Postmodern, Psychological, Social & Cultural Fiction","Communism, Diaries, Feminism, Mental Health, Politics, Sexuality, Women's Studies, colonialism, relationships, writing","England, London"
91,198,Emma,Jane Austen,1815,British,English,300-500,155887,91,2024,"Fiction, Literary Fiction, Regency, Romance, Social & Cultural Fiction, Victorian","Courtship, Deception, Family, Friendship, Jealousy, Love, Marriage, Self-discovery, Social Class, Women's Studies, manners","England, Highbury"
92,443,Demons,Fyodor Dostoevsky,1872,Russian,Russian,500-800,332000,92,2014,"Fiction, Gothic, Literary Fiction, Political, Psychological, philosophical","Family, Friendship, Ideology, Madness, Nihilism, Power, Revolution, corruption, morality",Russia
93,1170,The Metamorphosis,Franz Kafka,1915,Czech,German,40-100,22000,93,2013,"Allegorical, Dark, Existentialist, Fiction, Literary Fiction, Postmodern, Surreal","Alienation, Guilt, Responsibility, Transformation, Work, isolation",Fictional Location
94,455,The Castle,Franz Kafka,1926,Czech,German,200-300,98000,94,1990,"Allegorical, Dark, Existentialist, Fiction, Literary Fiction, Picaresque, Postmodern","Alienation, Authority, Bureaucracy, Control, Existentialism, Frustration, Power, Struggle, isolation",Fictional Location
95,69,Pale Fire,Vladimir Nabokov,1962,American,English,200-300,95000,95,1989,"Experimental, Fiction, Literary Fiction, Mythological, Postmodern, metafiction","Criticism, Death, Friendship, Immigrants, Madness, Murder, Nobility, Obsession, Paranoia, Parody",Fictional Location
96,474,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1902,American,English,1000-1500,,96,1951,"Fiction, Gothic, Horror, Mystery, Poetry, Psychological, Speculative Fiction, Technical","Death & Grief, Despair, Guilt, Love, Madness, Revenge, fear, isolation","Europe, Fictional Location, New York, Paris, Rome"
97,465,Buddenbrooks,Thomas Mann,1901,German,German,700-1000,178462,97,1945,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Business, Civilization, Death, Decline, Family, Family dynamics, Illness, Inheritance, Marriage, Social Class, Wealth, tradition","Germany, Lübeck"
98,192,Robinson Crusoe,Daniel Defoe,1719,British,English,200-300,121961,98,1945,"Adventure, Fiction, Historical fiction, Literary Fiction, Sailors & The Sea","Civilization, Faith, Human Resilience, Self-reliance, Survival, colonialism, isolation","Desert Island, England"
99,1351,All Quiet on the Western Front,Erich Maria Remarque,1928,German,German,200-300,61000,99,1933,"Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, military fiction","Comradeship, Death, Disillusionment, Friendship, Injury, Juvenile, Reportage, Soldiers, Survival, Trauma, War, World War I, Youth","France, Germany"
100,146,The Age of Innocence,Edith Wharton,1920,American,English,300-400,101572,100,1922,"Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Conformity, Duty, Family, Individualism, Love, Marriage, Society, class, tradition","New England, New York, United States"
